id,name,type,industry,annual_revenue,number_of_employees,billing_country,billing_city,phone,website,owner_id,created_date,last_modified_date,is_deleted
001000000000001AAA,Acme Corporation,Customer,Technology,5000000.00,250,US,San Francisco,+14155551234,https://acme.com,005000000000001AAA,2024-01-15 10:30:00,2025-03-01 14:22:00,f
001000000000002AAA,Global Industries,Partner,Manufacturing,12000000.00,1200,DE,Munich,+4989123456,https://global-ind.de,005000000000002AAA,2023-06-20 08:00:00,2025-02-28 09:15:00,f
001000000000009AAA,Clean Data AG,Customer,Technology,4500000.00,200,CH,Zurich,+41441234567,https://cleandata.ch,005000000000009AAA,2024-02-28 12:00:00,2025-03-10 08:00:00,f
001000000000010AAA,Perfect Corp,Partner,Finance,9000000.00,800,LU,Luxembourg,+35226123456,https://perfect.lu,005000000000010AAA,2023-12-01 07:00:00,2025-03-09 17:00:00,f
001000000000011AAA,ArcelorMittal SA,Customer,Steel,2500000.00,500,LU,Luxembourg,+35247921111,https://arcelormittal.com,005000000000011AAA,2022-05-10 09:00:00,2025-01-20 11:00:00,f
001000000000012AAA,SES Satellites,Customer,Telecom,1800000.00,350,LU,Betzdorf,+35271071111,https://ses.com,005000000000012AAA,2023-03-22 14:00:00,2025-02-15 10:00:00,f
001000000000003AAA,"",Customer,Finance,8000000.00,500,UK,London,+442071234567,https://noname.co.uk,005000000000003AAA,2024-03-10 11:45:00,2025-03-05 16:30:00,f
00100000004AAA,Short ID Corp,Prospect,Retail,2000000.00,80,FR,Paris,+33140123456,https://shortid.fr,005000000000004AAA,2024-07-01 09:00:00,2025-01-15 10:00:00,f
001000000000005AAA,Negative Rev Ltd,Customer,Healthcare,-500000.00,100,NL,Amsterdam,+31201234567,https://negrev.nl,005000000000005AAA,2024-09-15 13:00:00,2025-03-08 11:00:00,f
001000000000006AAA,Future Corp,Customer,Technology,3000000.00,150,US,New York,+12125551234,https://future.com,005000000000006AAA,2027-12-01 10:00:00,2025-03-01 14:22:00,f
001000000000007AAA,Time Travel Inc,Customer,Consulting,1500000.00,45,CA,Toronto,+14165551234,https://timetravel.ca,005000000000007AAA,2024-05-10 08:30:00,2024-01-01 09:00:00,f
001000000000008AAA,No Owner Corp,Customer,Energy,7000000.00,300,NO,Oslo,+4721234567,https://noowner.no,,2024-11-01 10:00:00,2025-02-20 15:00:00,f
